url,page_title,page_type,page_status,index_status,canonical,in_sitemap,in_navigation,parent,launch_phase,primary_keyword_cluster
/,SEO-First Website Development Company in South Africa,homepage,live-skeleton,index,self,yes,logo,,1,website development company south africa
/services/,Web Development Services,hub,live-skeleton,index,self,yes,header+footer,/,1,web development services south africa
/services/business-websites/,Business Website Design,service,live-skeleton,index,self,yes,footer,/services/,1,business website design south africa
/services/lead-generation-websites/,Lead Generation Website Design,service,live-skeleton,index,self,yes,footer,/services/,1,lead generation website design
/services/product-catalogue-websites/,Product Catalogue Website Development,service,live-skeleton,index,self,yes,footer,/services/,1,product catalogue website south africa
/services/ecommerce-websites/,Ecommerce Website Development,service,live-skeleton,index,self,yes,footer,/services/,1,ecommerce website development south africa
/services/custom-web-applications/,Custom Web Application Development,service,live-skeleton,index,self,yes,footer,/services/,1,custom web application development south africa
/services/admin-panel-development/,Admin Panel Development,service,live-skeleton,index,self,yes,none,/services/,1,admin panel development
/services/rfq-and-quotation-systems/,RFQ & Quotation System Development,service,live-skeleton,index,self,yes,none,/services/,1,quotation system development
/services/customer-and-supplier-portals/,Customer & Supplier Portal Development,service,live-skeleton,index,self,yes,none,/services/,1,customer portal development
/services/website-redesign/,Website Redesign Services,service,live-skeleton,index,self,yes,none,/services/,1,website redesign south africa
/services/seo-website-development/,SEO Website Development,service,live-skeleton,index,self,yes,none,/services/,1,seo website design south africa
/services/website-maintenance-and-support/,Website Maintenance & Support,service,live-skeleton,index,self,yes,footer,/services/,1,website maintenance south africa
/solutions/,Industry Solutions,hub,live-skeleton,index,self,yes,header,/,1,websites by industry
/solutions/contractors/,Websites for Contractors,solution,live-skeleton,index,self,yes,none,/solutions/,1,websites for contractors
/solutions/engineering-companies/,Websites for Engineering Companies,solution,live-skeleton,index,self,yes,none,/solutions/,1,engineering company website
/solutions/manufacturers-and-suppliers/,Websites for Manufacturers & Suppliers,solution,live-skeleton,index,self,yes,none,/solutions/,1,manufacturer website design
/solutions/property-businesses/,Websites & Systems for Property Businesses,solution,live-skeleton,index,self,yes,none,/solutions/,1,property business website
/solutions/professional-services/,Websites for Professional Services Firms,solution,live-skeleton,index,self,yes,none,/solutions/,1,website for professional services
/solutions/small-businesses/,Websites for Small Businesses,solution,live-skeleton,index,self,yes,none,/solutions/,1,small business website south africa
/website-packages/,Website Packages & Pricing,hub,live-skeleton,index,self,yes,header+footer,/,1,business website packages south africa
/website-packages/starter-business-website/,Starter Business Website Package,package,live-skeleton,index,self,yes,none,/website-packages/,1,starter website package
/website-packages/professional-business-website/,Professional Business Website Package,package,live-skeleton,index,self,yes,none,/website-packages/,1,professional website package
/website-packages/product-catalogue-website/,Product Catalogue Website Package,package,live-skeleton,index,self,yes,none,/website-packages/,1,product catalogue website package
/website-packages/ecommerce-website/,Ecommerce Website Package,package,live-skeleton,index,self,yes,none,/website-packages/,1,ecommerce website package
/website-packages/custom-web-system/,Custom Web System,package,live-skeleton,index,self,yes,none,/website-packages/,1,custom web system
/projects/,Projects & Case Studies,hub,live-skeleton,index,self,yes,header+footer,/,1,web development portfolio south africa
/projects/websites/,Website Projects,project-category,live-skeleton,noindex,self,no,none,/projects/,1,(noindex until real projects — D-07)
/projects/ecommerce/,Ecommerce Projects,project-category,live-skeleton,noindex,self,no,none,/projects/,1,(noindex until real projects — D-07)
