ID,Category,Item,Current placeholder state,File / location,Replacement required,Owner action,Blocks launch,Status 2026-07-22
P-01,Identity,Trading name,"Koppie Systems (preview approved; CIPC not verified)",config/brand.ts name,CIPC-verified registered name,Complete CIPC checks,Yes,Preview set — verification open
P-02,Identity,Legal name,"Koppie Systems (Pty) Ltd (proposed — not verified registered)",config/brand.ts legalName,Registered company name + number,Register company at CIPC,Yes,Open
P-03,Identity,Domain,"Primary named koppiesystems.co.za; canonical https://www.koppiesystems.co.za — DNS cutover open",config/brand.ts + NEXT_PUBLIC_SITE_URL,DNS live on production host,Point DNS + set production env,Yes,Named — cutover open
P-04,Contact,Phone,+27614188807 (rendered),config/brand.ts contact.phone,Keep monitored,Done,No,Complete
P-05,Contact,Email,empty until verification.emailLive — proposed hello@; ops via LEAD_TO_EMAIL,config/brand.ts + env,Live mailbox on owned domain,Create after domain,Yes,Open
P-06,Contact,WhatsApp,27614188807 (rendered),config/brand.ts contact.whatsapp,Keep monitored,Done,No,Complete
P-07,Contact,Business hours,"Enquiries any day — respond ASAP (SA)",config/brand.ts hours,Done,Done,No,Complete
P-08,Contact,Address policy,null (nationwide & international; no street address),config/brand.ts address,Done,Done,No,Complete
P-09,Identity,Service areas,"Pretoria/Centurion/Gauteng/South Africa/International",config/brand.ts serviceAreas + data/locations.ts,Confirmed genuine service areas,Confirm,No,Updated
P-10,Identity,Social profiles,empty array,config/brand.ts social,LinkedIn company page (first),Create after naming,No,Open
P-11,Identity,Google Business Profile,empty,config/brand.ts googleBusinessProfile,Verified GBP,Create post-registration,Yes (for local SEO),Open
P-12,People,Founder bio,"Draft Tiaan de Lange bio with placeholder notice until founderBioApproved",data/team.ts,Owner-approved bio + verified ECSA wording,Approve / amend,No,Draft in preview
P-13,People,Founder name/qualifications,not stated,data/team.ts + About page,Verified name + qualifications (claim nothing unverified),Supply,No,Open
P-14,People,Headshot,none,public/images/,Decision + photo if yes,Decide,No,Open
P-15,Evidence,Testimonials,empty by design — inventing refused,data/testimonials.ts,1-3 genuine quotes with written permission,Collect from first clients,No,Open
P-16,Evidence,Case study 1,damtech-website (noindex draft; permission granted),content/projects/damtech-website.ts,PII-cleared screenshots + flip indexation,Supply screenshots,No,Permissioned draft
P-17,Evidence,Case study 2,proplytic-property-software (noindex draft; permission granted),content/projects/proplytic-property-software.ts,PII-cleared screenshots + flip indexation,Supply screenshots,No,Permissioned draft
P-18,Evidence,Case study 3,admin-quotation-platform-template (noindex),content/projects/admin-quotation-platform-template.ts,Real permissioned system,Answer permission questions,No,Open
P-19,Evidence,Case study 4,catalogue-rfq-website-template (noindex),content/projects/catalogue-rfq-website-template.ts,Real catalogue/RFQ build,Await first matching client if none exists,No,Open
P-20,Evidence,Project screenshots,public/images/ empty (.gitkeep only),public/images/,PII-cleared screenshots per published project,Capture per PROJECT-PUBLICATION-CHECKLIST.md,No,Open
P-21,Evidence,Measurable results,none published (correct),case study files,Verifiable metrics with permission,Collect (GSC exports etc.),No,Open
P-22,Commercial,Package pricing,all ranges indicative:true with notice,data/packages.ts,Confirmed ranges,Sign off PRICING-DECISION.md,Yes (or hide prices),Open
P-23,Commercial,Hourly rate,indicative R650-950/h,docs + pricing page,Confirmed rate,Sign off,No,Open
P-24,Commercial,Support plan prices,indicative ranges,data/packages.ts / support page,Confirmed plans per SUPPORT-PACKAGE-DECISION.md,Sign off,No,Open
P-25,Commercial,Payment terms,proposed in PRICING-DECISION.md,proposals + terms page,Confirmed terms,Sign off,No,Open
P-26,Legal,Privacy policy,operational draft placeholder:false — not attorney-reviewed,data/legal.ts,Attorney review,Legal review,Yes,Draft complete
P-27,Legal,Terms of service,operational draft placeholder:false — not attorney-reviewed,data/legal.ts,Attorney review,Legal review,Yes,Draft complete
P-28,Legal,Cookie policy,operational draft placeholder:false,data/legal.ts,Update when analytics enabled,Legal review,Yes,Draft complete
P-29,Legal,Company registration details,VAT not registered recorded; reg number open,legal pages + footer,Reg number,Register + supply,Yes,Partial
P-30,Legal,POPIA Information Officer,open — contact form/phone used meantime,data/legal.ts,Named officer + contact,Designate,Yes,Open
P-31,Technical,Lead delivery,Resend/webhook/log in lib/lead-delivery.ts — host secrets required,.env + lib/lead-delivery.ts,Configure Preview env + live test,Set Vercel secrets,Yes,Code ready
P-32,Technical,OG/social share image,app/opengraph-image.jpg + twitter-image.jpg,public/images/og/,Branded 1200x630 image (after final logo),Installed 2026-07-24,No,Done
P-33,Technical,Analytics,GA measurement ID unset (disabled),env NEXT_PUBLIC_GA_MEASUREMENT_ID,GA4 property + consent handling,Create accounts (input #11),No,Open
P-34,Technical,Search Console,not set up,launch checklist,Domain property verified,Post-domain,Yes,Open
P-35,Brand,Design tokens,Koppie palette implemented in app/globals.css,app/globals.css,Final logo + any token tweaks after logo,Approve logo,No,Preview complete
P-36,Brand,Logo,Provisional wordmark active — final SVG not supplied,components/brand-wordmark.tsx + app/icon.svg,Final SVG per LOGO-PRODUCTION-BRIEF.md,Supply approved SVG,Yes for public brand,Blocked
