month,proposed_title,search_intent,target_keyword_cluster,supporting_commercial_page,required_expertise,evidence_required,publication_sequence_note,internal_link_targets,conversion_objective
1,Polish pass: 3 launch articles + all skeleton page copy,mixed,launch clusters,all,founder editorial,none,Before or at launch,per existing map,quote requests
1,Ecommerce Website Costs in South Africa (2026),informational,ecommerce website cost south africa,/services/ecommerce-websites/,pricing knowledge,market rate check,Cost cluster piece 2,"/pricing/; /website-packages/ecommerce-website/",guide-to-service click
2,Why Your Website Isn't Showing on Google (and how to fix it),informational,website not showing on google,/services/seo-website-development/,technical SEO,real diagnostic examples (anonymised),SEO cluster opener after launch articles index,"/services/seo-website-development/; /resources/what-is-an-seo-first-website/",consultation
2,Website Redesign Without Losing Your Google Rankings,informational,redesign without losing seo,/services/website-redesign/,migration experience,process artefacts,Supports redesign service,"/services/website-redesign/; /process/",consultation
3,What Makes a Contractor Website Actually Generate Calls,informational,contractor website leads,/solutions/contractors/,lead-gen experience,real patterns; case study when permitted,Lead-gen cluster opener,"/solutions/contractors/; /services/lead-generation-websites/",quote request
3,First real case study (replaces a template),commercial proof,portfolio,/projects/,project delivery,completed project + permission,EVIDENCE-LED — slips if no permission yet,"services used; solution page",quote request
4,Product Catalogue vs Ecommerce: Which Does Your Business Need?,comparison,catalogue vs ecommerce,/services/product-catalogue-websites/,B2B commerce,none,B2B cluster opener,"/services/product-catalogue-websites/; /services/ecommerce-websites/",consultation
4,How Long Does a Website Take to Build in South Africa?,informational,website build timeline,/process/,delivery data,honest timeline ranges,FAQ graduation piece,"/process/; /request-a-quote/",quote request
5,Core Web Vitals Explained for Business Owners,informational,core web vitals business,/services/seo-website-development/,technical SEO,lab examples,SEO cluster piece 3,"/services/seo-website-development/",consultation
5,The Real Cost of a Cheap Website,informational,cheap website problems,/website-packages/,market knowledge,anonymised examples only,Cost cluster piece 3 — no competitor naming,"/pricing/; /compare/custom-website-vs-template/",package view
6,Second real case study,commercial proof,portfolio,/projects/,project delivery,permissioned project,EVIDENCE-LED,per project,quote request
6,Signs Your Business Has Outgrown Spreadsheets,informational,spreadsheet to system,/services/admin-panel-development/,systems delivery,real patterns,Systems cluster opener,"/services/admin-panel-development/; /compare/website-vs-web-application/",consultation
7,How an RFQ System Streamlines Quoting for Suppliers,informational,rfq workflow,/services/rfq-and-quotation-systems/,systems delivery,case study strongly preferred,Systems cluster piece 2,"/services/rfq-and-quotation-systems/; /solutions/manufacturers-and-suppliers/",consultation
7,Website Hosting Costs in South Africa Explained,informational,website hosting cost south africa,/services/website-maintenance-and-support/,hosting knowledge,current market rates,Cost cluster piece 4,"/services/website-maintenance-and-support/; /pricing/",support enquiry
8,Build vs Buy: Custom Software for Small Businesses,comparison,build vs buy software,/services/custom-web-applications/,systems strategy,none,Systems cluster piece 3,"/services/custom-web-applications/",consultation
8,Open ecommerce-guides category (first piece: SA Payment Gateways Compared),comparison,payfast vs yoco vs peach,/services/ecommerce-websites/,integration experience,hands-on gateway use,Category opens with this piece (D-18),"/services/ecommerce-websites/",consultation
9,Schema and Structured Data: What SMEs Actually Need,informational,structured data for business,/services/seo-website-development/,technical SEO,site examples,SEO cluster piece 4,"/services/seo-website-development/",consultation
9,Third case study or client-growth evidence piece,commercial proof,portfolio,/projects/,delivery,verified GSC data + permission,EVIDENCE-LED,per project,quote request
10,Customer Portals: ROI for Repeat-Order B2B Businesses,informational,customer portal roi,/services/customer-and-supplier-portals/,systems delivery,case data preferred,Systems cluster piece 4; opens business-systems category,"/services/customer-and-supplier-portals/",consultation
10,Cape Town location page (IF evidence justifies — else skip),local commercial,website design cape town,/areas-we-serve/,real CT delivery,served clients in CT,Gate: D-08 review,"services truly offered",quote request
11,Website Maintenance: What You're Paying For,informational,website maintenance cost breakdown,/services/website-maintenance-and-support/,support delivery,plan data,Supports recurring revenue,"/services/website-maintenance-and-support/; /compare/website-maintenance-options/",support enquiry
11,Annual refresh: cost guide + pricing page for 2027,informational,website cost south africa 2027,/pricing/,market re-survey,fresh market research,Freshness defence of cluster 1,existing cluster links,guide-to-service click
12,Year-one review piece: What We Learned Building SEO-First Sites,informational,seo first website results,/services/seo-website-development/,real year data,verified aggregate data,Authority + brand piece,"/about/; /process/",consultation
12,Quarter-4 cluster scorecard review and next-year roadmap,internal,all,all,GSC analysis,GSC data,Not a page — planning task,-,planning
