primary_keyword_cluster,secondary_terms,search_intent,proposed_page_title,proposed_url,page_type,parent_page,target_customer,conversion_goal,supporting_internal_links,cannibalisation_notes,content_status,priority,evidence_source
website development company south africa,"web design company south africa; website developers south africa; seo web development",commercial,SEO-First Website Development Company in South Africa,/,homepage,,all segments,quote request,"/services/; /website-packages/; /projects/; /pricing/","Home owns the generic brand-level cluster; service pages must NOT target it in titles",live-skeleton,P1,SERP sample 2026-07-21 (Clutch/DesignRush dominance)
web development services south africa,"website services; what does a web developer do",commercial,Web Development Services,/services/,hub,/,all segments,route to service page,"all 11 service pages","Hub targets the plural 'services' intent only; individual services own their clusters",live-skeleton,P1,market logic
business website design south africa,"small business website design; professional business website",commercial,Business Website Design,/services/business-websites/,service,/services/,SMEs,quote request,"/website-packages/starter-business-website/; /website-packages/professional-business-website/; /solutions/small-businesses/; /resources/website-cost-south-africa/","Distinct from packages (transactional) and small-business solution (industry framing)",live-skeleton,P1,SERP sample: volume sellers rank with thin pages
lead generation website design,"lead generation website; website that generates leads; conversion website",commercial,Lead Generation Website Design,/services/lead-generation-websites/,service,/services/,contractors & service businesses,quote request,"/solutions/contractors/; /projects/; /services/seo-website-development/","Do not let home or business-websites use 'lead generation' as H1 focus",live-skeleton,P1,competitor gap: few SA pages target this explicitly
product catalogue website south africa,"product catalogue website; catalogue website design; product showcase website b2b",commercial,Product Catalogue Website Development,/services/product-catalogue-websites/,service,/services/,manufacturers & suppliers,quote request,"/services/rfq-and-quotation-systems/; /solutions/manufacturers-and-suppliers/; /website-packages/product-catalogue-website/","Package page targets price intent; this page targets capability intent",live-skeleton,P1,competitor gap confirmed in SERP sample
ecommerce website development south africa,"ecommerce website design; online store development; woocommerce/shopify alternative",commercial,Ecommerce Website Development,/services/ecommerce-websites/,service,/services/,retailers & B2B sellers,quote request,"/website-packages/ecommerce-website/; /compare/custom-website-vs-template/; /resources/","Ecommerce package page = price intent; keep this page scope-focused",live-skeleton,P1,Clutch/GoodFirms ecommerce SERPs 2026-07-21
custom web application development south africa,"custom web app developers; bespoke web application; next.js development south africa",commercial,Custom Web Application Development,/services/custom-web-applications/,service,/services/,growing businesses with unique processes,consultation,"/services/admin-panel-development/; /services/rfq-and-quotation-systems/; /projects/admin-systems/","next.js development consolidated here + compare page until demand justifies dedicated page",live-skeleton,P1,weak SA competition observed
admin panel development,"custom admin panel; admin dashboard development; internal tool development",commercial,Admin Panel Development,/services/admin-panel-development/,service,/services/,spreadsheet-run businesses,consultation,"/services/custom-web-applications/; /projects/admin-systems/","Keep 'dashboard' secondary here; no separate dashboard page",live-skeleton,P2,differentiation wedge; low SERP density
quotation system development,"rfq system south africa; quote management system; rfq software small business",commercial,RFQ & Quotation System Development,/services/rfq-and-quotation-systems/,service,/services/,quote-driven sellers,consultation,"/services/product-catalogue-websites/; /solutions/manufacturers-and-suppliers/","RFQ + quotation intents consolidated on one page deliberately",live-skeleton,P2,near-zero direct SA competition observed
customer portal development,"supplier portal development; client portal; b2b portal development south africa",commercial,Customer & Supplier Portal Development,/services/customer-and-supplier-portals/,service,/services/,repeat-interaction B2B,consultation,"/services/custom-web-applications/; /projects/admin-systems/","Customer + supplier consolidated; split only if GSC shows divergent demand",live-skeleton,P2,differentiation wedge
website redesign south africa,"website revamp; redesign without losing seo; upgrade old website",commercial,Website Redesign Services,/services/website-redesign/,service,/services/,owners of underperforming sites,consultation,"/services/seo-website-development/; /compare/website-maintenance-options/; /resources/","'Redesign vs new build' question answered here, not a separate article at launch",live-skeleton,P1,common competitor offering; intent distinct
seo website design south africa,"seo web development; seo friendly website design; website that ranks on google",commercial,SEO Website Development,/services/seo-website-development/,service,/services/,buyers naming SEO explicitly,consultation,"/resources/what-is-an-seo-first-website/; /process/; /services/website-redesign/","Distinct from generic business-websites; explains method not just deliverable",live-skeleton,P1,cost-guide publishers rank for this adjacency
website maintenance south africa,"website maintenance cost; website support packages; wordpress maintenance alternative",commercial,Website Maintenance & Support,/services/website-maintenance-and-support/,service,/services/,all site owners,support enquiry,"/compare/website-maintenance-options/; /pricing/","All support plans on ONE page; no thin per-plan pages",live-skeleton,P1,competitor offering standard; recurring revenue
websites for contractors,"construction company website design; contractor website south africa",commercial,Websites for Contractors,/solutions/contractors/,solution,/solutions/,contractors & trades,quote request,"/services/lead-generation-websites/; /projects/websites/; /areas-we-serve/pretoria/","Industry framing; must not duplicate lead-gen service copy",live-skeleton,P1,gap: industry pages rare in SA SERPs
engineering company website,"website for engineering firm; industrial website design",commercial,Websites for Engineering Companies,/solutions/engineering-companies/,solution,/solutions/,engineering & industrial,quote request,"/services/business-websites/; /services/customer-and-supplier-portals/","",live-skeleton,P2,gap observed
manufacturer website design,"website for manufacturer; supplier website; distributor website south africa",commercial,Websites for Manufacturers & Suppliers,/solutions/manufacturers-and-suppliers/,solution,/solutions/,manufacturers & distributors,quote request,"/services/product-catalogue-websites/; /services/rfq-and-quotation-systems/","",live-skeleton,P2,gap observed
property business website,"real estate website development; property management system south africa; letting agent website",commercial,Websites & Systems for Property Businesses,/solutions/property-businesses/,solution,/solutions/,property owners & agents,consultation,"/services/custom-web-applications/; /projects/admin-systems/","Property-management SYSTEM demand consolidated here until case study justifies more",live-skeleton,P2,founder capability match
website for professional services,"law firm website design south africa; accountant website; practice website",commercial,Websites for Professional Services Firms,/solutions/professional-services/,solution,/solutions/,attorneys/accountants/practices,quote request,"/services/business-websites/; /areas-we-serve/","",live-skeleton,P2,local-intent trust market
small business website south africa,"website for small business; sme website",commercial,Websites for Small Businesses,/solutions/small-businesses/,solution,/solutions/,SMEs,quote request,"/website-packages/starter-business-website/; /resources/website-cost-south-africa/","Captures D1 demand without repositioning whole brand; packages carry price intent",live-skeleton,P1,volume-market demand evidence
business website packages south africa,"website packages and prices; website design packages",transactional,Website Packages & Pricing,/website-packages/,hub,/,price-intent SMEs,route to package,"all 5 package pages; /pricing/","Hub for transactional intent; /pricing/ handles the pure price-question intent",live-skeleton,P1,competitor package pages rank well
starter website package,"basic website package; 5 page website price",transactional,Starter Business Website Package,/website-packages/starter-business-website/,package,/website-packages/,new/small businesses,quote request,"/services/business-websites/; /pricing/","Targets 'starter/basic package' intent; service page owns capability intent",live-skeleton,P1,R1990-R10k volume market exists; we anchor above it
professional website package,"professional website price; lead generation website cost",transactional,Professional Business Website Package,/website-packages/professional-business-website/,package,/website-packages/,established SMEs,quote request,"/services/lead-generation-websites/; /pricing/","",live-skeleton,P1,market pricing research
product catalogue website package,"catalogue website price",transactional,Product Catalogue Website Package,/website-packages/product-catalogue-website/,package,/website-packages/,manufacturers & suppliers,quote request,"/services/product-catalogue-websites/","Package (price) vs service (capability) split documented",live-skeleton,P2,market pricing research
ecommerce website package,"ecommerce website price south africa; online store cost",transactional,Ecommerce Website Package,/website-packages/ecommerce-website/,package,/website-packages/,retailers,quote request,"/services/ecommerce-websites/; /resources/website-cost-south-africa/","",live-skeleton,P2,ecommerce cost queries confirmed
custom web system,"custom system price; web application cost",transactional,Custom Web System,/website-packages/custom-web-system/,package,/website-packages/,systems buyers,consultation,"/services/custom-web-applications/","Discovery-first presentation; no fixed price claims",live-skeleton,P2,market logic
website cost south africa,"how much does a website cost in south africa; web design prices 2026",informational,How Much Does a Website Cost in South Africa?,/resources/website-cost-south-africa/,article,/resources/website-cost-guides/,researching buyers,guide-to-service click,"/pricing/; /website-packages/; /services/business-websites/","Article = question intent; /pricing/ = our prices; never merge",draft-live,P1,proven ranking asset across 7+ SA agencies
